symbol	max_min_score	Q75.25_score	cor	p.value	fdr	TSGene
NFE2L2	0.5997531849	0	-0.0483713655	0.2432119727	0.8471177077	
SCYL1	0.5997031548	0	-0.0483279878	0.2434076295	0.8471177077	
CASP9	0.5995242593	0	-0.0481728798	0.2441079423	0.8471177077	
CHN1	0.5994742292	0	-0.0481295021	0.2443039857	0.8471177077	
PPP1R9A	0.5994166188	0	-0.048079552	0.2445298371	0.8471177077	
BRD2	0.599349912	0	-0.0480217151	0.2447914889	0.8471177077	
DYRK1B	0.599183145	0	-0.0478771229	0.2454462737	0.8471177077	
ALPPL2	0.5991497916	0	-0.0478482044	0.2455773429	0.8471177077	
KDR	0.5990254744	0	-0.0477404175	0.2460662028	0.8471177077	
ATM	0.5990087977	0	-0.0477259583	0.246131821	0.8471177077	TSG
MAP3K11	0.5989254142	0	-0.0476536621	0.2464600521	0.8471177077	
MYL6B	0.5988996411	0	-0.0476313161	0.2465615525	0.8471177077	
CEACAM6	0.5988192898	0	-0.0475616489	0.2468781378	0.8471177077	
SET	0.5988117095	0	-0.0475550765	0.2469080156	0.8471177077	
SIGLEC7	0.598799581	0	-0.0475445607	0.2469558239	0.8471177077	
TLK1	0.5987631954	0	-0.0475130133	0.2470992785	0.8471177077	
IRS1	0.5987192296	0	-0.0474748935	0.2472726785	0.8471177077	
DNPEP	0.5982249929	0	-0.0470463747	0.249226378	0.8525588562	
CNTN1	0.5980051637	0	-0.0468557758	0.2500979705	0.8534012481	
GTSE1	0.5978095915	0	-0.0466862085	0.2508747369	0.8534012481	
CCL5	0.597795947	0	-0.0466743783	0.2509289772	0.8534012481	
MAPKAPK2	0.5976610173	0	-0.04655739	0.2514656862	0.8534012481	
CASP2	0.5976473727	0	-0.0465455597	0.2515199937	0.8534012481	
ALDH1A2	0.5975639892	0	-0.0464732636	0.2518520069	0.8534012481	TSG
IFNA16	0.5975185073	0	-0.0464338293	0.2520332019	0.8534012481	
EGLN3	0.5973502243	0	-0.0462879226	0.2527042177	0.8544332461	TSG
SLC19A2	0.5969863691	0	-0.0459724486	0.2541582549	0.857172779	
MMP9	0.5969636281	0	-0.0459527315	0.2542492769	0.857172779	
STK32C	0.5968044415	0	-0.0458147116	0.2548869065	0.8580824717	
TNFRSF4	0.5966816403	0	-0.0457082391	0.2553793603	0.8585015094	
SLC12A3	0.5965739998	0	-0.0456149114	0.2558114236	0.8587166207	
BRIP1	0.5963268815	0	-0.045400652	0.2568047775	0.8594882722	
TRIM36	0.596245014	0	-0.0453296703	0.2571343038	0.8594882722	
RAB5A	0.5962419819	0	-0.0453270414	0.2571465126	0.8594882722	
DBH	0.5960069921	0	-0.0451232978	0.2580936116	0.8614197364	
LCN2	0.5958516126	0	-0.0449885789	0.2588744532	0.8620686934	
C1QA	0.5957022633	0	-0.0448590883	0.2593244585	0.8620686934	
ZNF384	0.5956294923	0	-0.0447959935	0.2596188376	0.8620686934	
HSF1	0.5955931068	0	-0.0447644461	0.2597660915	0.8620686934	
CARD10	0.5953399242	0	-0.0445449288	0.2607919186	0.8631553005	
SERPINA1	0.5953232475	0	-0.0445304695	0.2608595607	0.8631553005	
MERTK	0.5952231873	0	-0.0444437142	0.2612656019	0.8631553005	
GAD1	0.5951473841	0	-0.0443779904	0.2615734237	0.8631553005	
CDKN2A	0.5948669291	0	-0.0441348271	0.2628666969	0.8635865876	TSG
CCNB1	0.5947683682	0	-0.0440493717	0.263115305	0.8635865876	
SCTR	0.5947168221	0	-0.0440046795	0.263325357	0.8635865876	
L3MBTL1	0.594691049	0	-0.0439823335	0.263430415	0.8635865876	
HINT1	0.5946546635	0	-0.0439507861	0.2635787683	0.8635865876	TSG
PC	0.5945697639	0	-0.0438771755	0.2639250909	0.8635865876	
HSPA4	0.5943105171	0	-0.0436524002	0.2649840372	0.8658371973	
IL1RAP	0.5940876558	0	-0.0434591724	0.2658960726	0.8661989641	
MSMO1	0.5939769831	0	-0.0433632157	0.2663495752	0.8661989641	
CHRNA4	0.5939239209	0	-0.0433172091	0.2665671459	0.8661989641	
MTFMT	0.5938920836	0	-0.0432896051	0.2666977313	0.8661989641	
CYP7A1	0.5937935394	0	-0.0432041643	0.2671021277	0.8661989641	
UHMK1	0.5937071238	0	-0.0431292392	0.2674570054	0.8661989641	
ODZ1	0.5936495134	0	-0.0430792891	0.2676937219	0.8661989641	
IVD	0.5934539412	0	-0.0429097219	0.2684980945	0.8675984133	
PROS1	0.5932416924	0	-0.0427256954	0.2693724222	0.8692197247	
IDH1	0.5923123455	0	-0.0419199222	0.2732173671	0.8802707276	TSG
BAI1	0.5921789319	0	-0.0418042484	0.2737715444	0.8802707276	
SLCO1B1	0.5921410303	0	-0.0417713865	0.273929082	0.8802707276	
ROCK1	0.5920258095	0	-0.0416714864	0.2744082696	0.880322816	
FSHR	0.5919393938	0	-0.0415965613	0.2747679301	0.880322816	
AHCY	0.5918651067	0	-0.0415321521	0.2750772966	0.880322816	
PTPRE	0.5915982796	0	-0.0413008045	0.2761898954	0.8826726384	
CYP19A1	0.591129816	0	-0.0408946317	0.2781485626	0.8877162743	
SIRT4	0.5910312718	0	-0.0408091908	0.278561436	0.8877816034	
HTR1F	0.5909433402	0	-0.0407329513	0.2789300966	0.8877816034	
GDF2	0.590532487	0	-0.0403767285	0.2806557526	0.8902283159	
RYR1	0.590532487	0	-0.0403767285	0.2806557526	0.8902283159	
MTRR	0.5904202983	0	-0.0402794574	0.2811278561	0.8902283159	
ACADSB	0.5903202381	0	-0.040192702	0.281549243	0.8902283159	
NCAM1	0.5903065935	0	-0.0401808718	0.2816067283	0.8902283159	
HRH2	0.5897653739	0	-0.0397116172	0.2840383497	0.8967002299	
BCAT1	0.589554626	0	-0.0395288922	0.2847834797	0.8969616114	
PAK3	0.5895197716	0	-0.0394986722	0.2850776911	0.8969616114	
FCER1G	0.589412131	0	-0.0394053445	0.2855337715	0.8969616114	
ALPP	0.5892847667	0	-0.0392949156	0.2859276559	0.8969616114	
RHOA	0.5892574776	0	-0.0392712551	0.28604348	0.8969616114	TSG
SULT1C4	0.5890452287	0	-0.0390872286	0.2869450902	0.898195185	
HOXD10	0.5890179544	0	-0.0390635808	0.2872068615	0.898195185	
GALE	0.5884494158	0	-0.0385706399	0.2894831676	0.9027818327	
PAPPA	0.5882326187	0	-0.03838267	0.2904092868	0.9027818327	
CRY1	0.5881628798	0	-0.0383222041	0.2907074923	0.9027818327	
ETV1	0.5880946569	0	-0.0382630527	0.2909993527	0.9027818327	
PIK3CA	0.5880916248	0	-0.0382604238	0.2910123275	0.9027818327	
CBS	0.5880810124	0	-0.0382512225	0.2910577411	0.9027818327	
TAOK1	0.5880052092	0	-0.0381854987	0.2913822203	0.9027818327	
HSP90AA1	0.5877793445	0	-0.0379896669	0.2924939212	0.9047078127	
ACAT2	0.5876368058	0	-0.0378660813	0.2929615743	0.9047078127	
PPP3CA	0.5874382015	0	-0.0376938851	0.2938146313	0.9047078127	
DECR1	0.587427589	0	-0.0376846837	0.2938602466	0.9047078127	
MEN1	0.587235049	0	-0.0375177454	0.2946884043	0.9047078127	TSG
CFTR	0.5872289847	0	-0.0375124875	0.2947145054	0.9047078127	
TYK2	0.587163794	0	-0.0374559651	0.2949951591	0.9047078127	
GRM4	0.5871380209	0	-0.037433619	0.2951061489	0.9047078127	
NRBP2	0.5869803503	0	-0.0372969136	0.2957855617	0.9056006765	
NUP153	0.5867938745	0	-0.0371352332	0.2965900191	0.9056414155	
MDH1	0.5865300795	0	-0.0369065145	0.2977297312	0.9056414155	
RPN1	0.5864664048	0	-0.0368513066	0.2980051315	0.9056414155	
ABCB11	0.5864573084	0	-0.0368434197	0.2980444838	0.9056414155	
ABCB1	0.5863572482	0	-0.0367566644	0.2984775148	0.9056414155	
BAG4	0.586351184	0	-0.0367514065	0.2985037682	0.9056414155	
PPM1E	0.5863102503	0	-0.0367159157	0.2986810063	0.9056414155	
RPIA	0.5862913134	0	-0.0366994968	0.2989043677	0.9056414155	
PPA1	0.5860752604	0	-0.036512172	0.2996994036	0.906711477	
HTR2B	0.5859979412	0	-0.0364451338	0.3000348308	0.906711477	
FZD9	0.5858993971	0	-0.0363596929	0.3004625807	0.9068294966	
PDE3A	0.5856886642	0	-0.0361769809	0.3013782255	0.9076227418	
RNASE2	0.585659859	0	-0.0361520059	0.3015034826	0.9076227418	
CYBA	0.5852171685	0	-0.0357681792	0.3034314084	0.9122493245	
ATP2C1	0.584774478	0	-0.0353843525	0.3053647923	0.9168803865	
MS4A1	0.5844727814	0	-0.035122772	0.3066855117	0.9190389073	
NPR3	0.5844303316	0	-0.0350859667	0.3068715426	0.9190389073	
DTX1	0.5842559843	0	-0.034934802	0.3076361164	0.9201475124	
MTNR1A	0.5840604121	0	-0.0347652348	0.3084947587	0.9210911588	
GRIK5	0.5840043177	0	-0.0347165992	0.3087412285	0.9210911588	
GPX5	0.5835980127	0	-0.0343643199	0.3105290226	0.9236853842	
NUDT10	0.5835267578	0	-0.0343025396	0.3108430145	0.9236853842	
SLCO4A1	0.583460051	0	-0.0342447027	0.3111370886	0.9236853842	
KARS	0.5833880509	0	-0.0341822763	0.3115903975	0.9236853842	
PTGFR	0.5833675711	0	-0.0341645197	0.3115449806	0.9236853842	
MAP2K3	0.5832387057	0	-0.0340527893	0.3121137384	0.924062629	
HMGCR	0.583055262	0	-0.0338937378	0.3129241504	0.9252877603	
ALKBH3	0.5829233645	0	-0.0337793785	0.3135073998	0.9258389413	
SUFU	0.5825837663	0	-0.0334849361	0.315011232	0.9290122546	TSG
COX4I1	0.5824253503	0	-0.0333475844	0.3158475141	0.9290122546	
IL1R1	0.5823730335	0	-0.0333022241	0.3159459515	0.9290122546	
CBL	0.5823214873	0	-0.0332575319	0.3161747665	0.9290122546	
GNMT	0.5821137866	0	-0.0330774489	0.3170974651	0.9295206618	TSG
IL37	0.5821031742	0	-0.0330682475	0.3171446407	0.9295206618	
JARID2	0.5818136061	0	-0.0328171828	0.3184329999	0.9321257073	
PLK4	0.5816847407	0	-0.0327054524	0.3190070575	0.9326359213	
IL36G	0.581572552	0	-0.0326081813	0.3195071772	0.9329289668	
KAT2B	0.581357271	0	-0.0324215258	0.3204677807	0.9331395489	
PKMYT1	0.5813239176	0	-0.0323926074	0.3206167138	0.9331395489	
TPMT	0.581287532	0	-0.03236106	0.3207792191	0.9331395489	
MAPKAPK5	0.5810919599	0	-0.0321914927	0.3216532698	0.9345169095	TSG
SLC16A3	0.5809782551	0	-0.0320929071	0.3221618908	0.9348304618	
SMARCB1	0.5808766789	0	-0.0320048373	0.3226165393	0.934986815	TSG
RORA	0.580761458	0	-0.0319049372	0.3231325793	0.9350225593	
CDC73	0.5804218598	0	-0.0316104948	0.3246555068	0.9350225593	TSG
HNF1A	0.5804082152	0	-0.0315986645	0.3247167571	0.9350225593	
SLC7A2	0.5803703137	0	-0.0315658026	0.3248869213	0.9350225593	
ERN1	0.580211127	0	-0.0314277827	0.3256020078	0.9350225593	
AZGP1	0.5801853539	0	-0.0314054367	0.3257178438	0.9350225593	
DVL1	0.580139872	0	-0.0313660024	0.3259223012	0.9350225593	
ALAS1	0.5801171311	0	-0.0313462853	0.3260245495	0.9350225593	
SLC1A7	0.5800701331	0	-0.0313055366	0.3262359037	0.9350225593	
RARA	0.5799427838	0	-0.0311951207	0.3268088843	0.9355154933	
WWOX	0.5797851132	0	-0.0310584153	0.3275188519	0.9363988742	TSG
RDH11	0.5795061575	0	-0.0308165519	0.3287764679	0.9380255223	
ALDH1A3	0.5794030652	0	-0.0307271676	0.3292417284	0.9380255223	
CPD	0.5792696516	0	-0.0306114938	0.3298442207	0.9380255223	
REL	0.5792226536	0	-0.030570745	0.3300565671	0.9380255223	
CTBP1	0.579184752	0	-0.0305378832	0.3302278538	0.9380255223	TSG
COL4A3BP	0.5790968204	0	-0.0304616436	0.3306253752	0.9380255223	
VEGFB	0.5790331457	0	-0.0304064357	0.3309133543	0.9380255223	
CACNA1I	0.5789467301	0	-0.0303315106	0.3313043422	0.9380255223	
KSR2	0.5787284169	0	-0.0301422262	0.3322929152	0.9395555489	
CCNG1	0.5786495816	0	-0.0300738735	0.3326501858	0.9395555489	
RPS6KC1	0.5783509171	0	-0.0298149219	0.3340050607	0.9403170968	
CSF3	0.5783494011	0	-0.0298136074	0.3340119438	0.9403170968	
P4HA2	0.578323628	0	-0.0297912614	0.3341289641	0.9403170968	
BLK	0.5781409536	0	-0.0296328769	0.3350824059	0.9418641601	
FFAR2	0.577773297	0	-0.0293141069	0.3366315036	0.9446929222	
PDK2	0.5776808171	0	-0.029233924	0.3370527513	0.9446929222	
PCSK9	0.5775049537	0	-0.0290814449	0.3378543732	0.9446929222	
SLC25A6	0.5774670522	0	-0.029048583	0.3380272325	0.9446929222	
PTPRS	0.5773806365	0	-0.0289736579	0.3384214788	0.9446929222	
TFEB	0.5773594116	0	-0.0289552553	0.3385183382	0.9446929222	
SP110	0.5772350944	0	-0.0288474683	0.3390858706	0.9451461603	
NUMA1	0.5770531668	0	-0.0286897313	0.3399170605	0.9462953374	
IL17C	0.5768879159	0	-0.0285464535	0.3406727296	0.9462953374	
SHC1	0.5767969521	0	-0.028467585	0.3410889659	0.9462953374	
MTHFR	0.5767363096	0	-0.028415006	0.3413665638	0.9462953374	
NFKBIL1	0.5767014401	0	-0.0283847731	0.3415262212	0.9462953374	
CEACAM5	0.576580155	0	-0.0282796151	0.3420817709	0.9467102865	
C9orf96	0.5759509887	0	-0.027734108	0.3449691208	0.9535698564	
MAP3K14	0.5758084787	0	-0.0276105473	0.3456243792	0.954250505	
TRPV1	0.5756492921	0	-0.0274725275	0.346356861	0.9549528088	
SCN11A	0.5755113303	0	-0.0273529102	0.3469921413	0.9549528088	
STK25	0.5754279468	0	-0.0272806141	0.3473763095	0.9549528088	
PSMB8	0.5753976255	0	-0.0272543246	0.3475160457	0.9549528088	
DDX1	0.5752369228	0	-0.0271149903	0.3482569914	0.9557307926	
HSD17B1	0.5751505072	0	-0.0270400652	0.3486556629	0.9557307926	
APBB1IP	0.574857907	0	-0.0267863715	0.3500067832	0.9557307926	
PSMD9	0.5748442624	0	-0.0267745412	0.350069835	0.9557307926	
HPX	0.5747442022	0	-0.0266877859	0.350532341	0.9557307926	
MPPED2	0.5746335296	0	-0.0265918292	0.3510441573	0.9557307926	
SLC39A14	0.574619885	0	-0.0265799989	0.3511072766	0.9557307926	
SLC23A1	0.5745865316	0	-0.0265510805	0.3512615854	0.9557307926	
CRHR2	0.5745380176	0	-0.0265090173	0.351486078	0.9557307926	
SOS1	0.5743045438	0	-0.0263065881	0.3525671684	0.9567267666	
AMBP	0.5742818028	0	-0.026286871	0.3526725329	0.9567267666	
TESK2	0.5739922347	0	-0.0260358063	0.3540151546	0.9592536071	
PDHA1	0.5738042429	0	-0.0258728114	0.3548877729	0.9605025223	
ADH5	0.5736738614	0	-0.0257597665	0.3554934212	0.961026827	
FAS	0.573378229	0	-0.0255034439	0.3568680364	0.9629405653	
GABRR3	0.5732614921	0	-0.0254022293	0.3574113438	0.9629405653	
ADAM28	0.5732554279	0	-0.0253969714	0.3574395754	0.9629405653	
CSNK1A1	0.5730393984	0	-0.025209667	0.3585550501	0.9642145654	
FLT3	0.5729764722	0	-0.025155108	0.3587390668	0.9642145654	
RHD	0.5726808398	0	-0.0248987854	0.3601180219	0.9668055555	
ALOX5AP	0.572589876	0	-0.0248199169	0.3605426813	0.9668055555	
EIF4EBP1	0.5725034604	0	-0.0247449919	0.3609462661	0.9668055555	
LMO2	0.5720456093	0	-0.0243480204	0.363087118	0.9711796034	
CTSS	0.5719637418	0	-0.0242770388	0.3634703704	0.9711796034	
MNX1	0.5718303282	0	-0.024161365	0.3640952209	0.9711796034	
DAB1	0.5717984909	0	-0.024133761	0.3642443862	0.9711796034	
ZNF643	0.5715589529	0	-0.0239260739	0.3653673316	0.9721471862	
ADAMTS20	0.5715240834	0	-0.023895841	0.3655308943	0.9721471862	
CD209	0.5714255393	0	-0.0238104001	0.3659932683	0.9721471862	
GCLM	0.5712890936	0	-0.0236920974	0.3666337979	0.9721471862	
HARS	0.5712769651	0	-0.0236815816	0.3666907518	0.9721471862	
MAPK11	0.5711026178	0	-0.023530417	0.3675097858	0.9730516468	
PVALB	0.5710268146	0	-0.0234646932	0.3678660748	0.9730516468	
ALDH1A1	0.570893401	0	-0.0233490194	0.368493418	0.9736071847	
OMG	0.5706023168	0	-0.0230966402	0.3698633754	0.975111739	
CHRNA1	0.5705416743	0	-0.0230440612	0.3701489907	0.975111739	
ADH1B	0.5704795157	0	-0.0229901677	0.3704418203	0.975111739	
EPHA10	0.5704173571	0	-0.0229362743	0.3707347246	0.975111739	
IL36A	0.5703256439	0	-0.022856756	0.3712677826	0.975414118	
SULT2A1	0.5701687227	0	-0.0227207004	0.3719070854	0.9759946348	
DRD2	0.5699807308	0	-0.0225577055	0.3727942901	0.9763330754	
OAT	0.5699640541	0	-0.0225432462	0.3728730262	0.9763330754	
PADI2	0.5695729098	0	-0.0222041117	0.3747212547	0.9794807643	
FOXP1	0.5695319761	0	-0.0221686209	0.3749148403	0.9794807643	TSG
ALDH3B1	0.5694015946	0	-0.022055576	0.3755316551	0.9799948002	
GLUD1	0.5692712131	0	-0.0219425312	0.3761487864	0.9805085126	
CDK13	0.568980129	0	-0.021690152	0.3775277029	0.9830046104	
LYN	0.5686284022	0	-0.0213851938	0.3791959658	0.9849566638	
MAP3K6	0.5685783721	0	-0.0213418161	0.3794334446	0.9849566638	
AFF4	0.5684752798	0	-0.0212524318	0.3799229372	0.9849566638	
RFK	0.5684661834	0	-0.0212445449	0.3799661369	0.9849566638	
NPM1	0.5681213266	0	-0.0209455432	0.3816984059	0.9864314016	
CXCR3	0.568120521	0	-0.0209448446	0.3816088257	0.9864314016	
RECQL4	0.5680795873	0	-0.0209093538	0.3818034958	0.9864314016	
FZD10	0.5679173685	0	-0.020768705	0.3825752581	0.9873012991	
GCLC	0.5678309529	0	-0.0206937799	0.3829865734	0.9873012991	
SH3GL1	0.5675883827	0	-0.0204834639	0.3841418427	0.9873311312	
CD19	0.5675868666	0	-0.0204821494	0.3841490663	0.9873311312	
PSAP	0.5675125795	0	-0.0204177402	0.3845030749	0.9873311312	
OGFOD2	0.5674731619	0	-0.0203835638	0.3846909551	0.9873311312	
LTK	0.5670971782	0	-0.020057574	0.3864843911	0.9886609383	
GRM5	0.5670911139	0	-0.0200523161	0.3865133374	0.9886609383	
LEPREL2	0.5670122786	0	-0.0199839634	0.386889696	0.9886609383	
SLC25A12	0.5670092465	0	-0.0199813345	0.3869041734	0.9886609383	
QDPR	0.5668136743	0	-0.0198117672	0.3878382985	0.9899636219	
LTB	0.5666181021	0	-0.0196421999	0.3887730695	0.9909399717	
SLC25A18	0.5665559435	0	-0.0195883064	0.3890703018	0.9909399717	
CD40	0.5663558231	0	-0.0194147957	0.3900276824	0.9922950742	
IFNA2	0.5661996686	0	-0.0192794048	0.3907751908	0.9931138563	
GLTSCR1	0.5659843876	0	-0.0190927494	0.3918063943	0.9938462553	TSG
HLA-A	0.5659616466	0	-0.0190730322	0.3919153686	0.9938462553	
BCR	0.565708464	0	-0.0188535149	0.3931291829	0.9958418933	TSG
PRMT1	0.5655894602	0	-0.0187503348	0.3937846186	0.9959638368	
EPHB2	0.5655204722	0	-0.01869052	0.3940311279	0.9959638368	TSG
EPS15	0.5653097393	0	-0.018507808	0.3950428513	0.9967845323	
GLS	0.5652748699	0	-0.0184775751	0.3952103268	0.9967845323	
PTGER1	0.5651005226	0	-0.0183264104	0.3960479927	0.9978185388	
S100A1	0.5647366674	0	-0.0180109364	0.3977976993	1	
HMOX1	0.5646184144	0	-0.0179084074	0.3983667963	1	
NGB	0.5644925811	0	-0.017799306	0.39897261	1	
COX7A1	0.5643667479	0	-0.0176902045	0.3995786659	1	
PDGFRA	0.5640453424	0	-0.0174115358	0.4011277534	1	
HEPH	0.5639589268	0	-0.0173366108	0.4015445182	1	
MST1R	0.5639043485	0	-0.0172892897	0.4018077956	1	
HPD	0.5638876718	0	-0.0172748304	0.4018882503	1	
TAOK2	0.5638497702	0	-0.0172419686	0.4020711172	1	
IFNA6	0.563725453	0	-0.0171341816	0.4026710703	1	
SLC7A4	0.563676939	0	-0.0170921184	0.4029052603	1	
IFNA8	0.563604168	0	-0.0170290236	0.4032566102	1	
CDH1	0.5628658451	0	-0.0163888743	0.4068256934	1	TSG
CACNA1F	0.5628552326	0	-0.016379673	0.4068770513	1	
BCHE	0.5627157548	0	-0.0162587413	0.4075521885	1	
EPAS1	0.5626990781	0	-0.016244282	0.4076329298	1	
WHSC1L1	0.5626717889	0	-0.0162206215	0.4077650602	1	TSG
GUSB	0.5625868894	0	-0.0161470109	0.4081761995	1	
HTR1D	0.5624868292	0	-0.0160602555	0.4086608855	1	
PARP1	0.5623640281	0	-0.0159537831	0.4092559173	1	
UQCRB	0.5621881647	0	-0.015801304	0.4101084235	1	
PIK3R4	0.5621108455	0	-0.0157342657	0.4104833662	1	
TGFBR2	0.5616393497	0	-0.015325464	0.4127715312	1	TSG
SLC6A2	0.5612664038	0	-0.0150021081	0.4146519748	1	
NRBP1	0.5612512375	0	-0.0149889584	0.4146572547	1	
FFAR1	0.5611951488	0	-0.0149403277	0.4149981073	1	
TLX1	0.5609851795	0	-0.0147582777	0.4160184464	1	
MYT1	0.5608888983	0	-0.0146747989	0.4164195225	1	
NEK4	0.5608661574	0	-0.0146550818	0.4165301812	1	
TFF2	0.5608312879	0	-0.0146248488	0.4166998707	1	
NPR1	0.5600338385	0	-0.013933435	0.4205847479	1	
IFNA21	0.5599648629	0	-0.0138736309	0.4209845263	1	
ART1	0.5597738389	0	-0.013708007	0.4219156913	1	
CLC	0.5597397222	0	-0.0136784268	0.4220195386	1	
PDE11A	0.5595547625	0	-0.0135180609	0.4229223583	1	
RPS6KA4	0.5595259573	0	-0.0134930859	0.4230629977	1	
STRADA	0.5595017003	0	-0.0134720543	0.4231814385	1	
ADAMTS18	0.5594509172	0	-0.0134280238	0.4234907869	1	TSG
KIAA1804	0.5593773831	0	-0.0133642673	0.4237885556	1	
SLC12A6	0.5592470016	0	-0.0132512225	0.4244254816	1	
CXCL2	0.5591029756	0	-0.0131263473	0.4251292907	1	
CXCL9	0.5589847226	0	-0.0130238183	0.4257073325	1	
CDH3	0.5587982468	0	-0.0128621379	0.4266191824	1	
PGLYRP3	0.5587163842	0	-0.0127911604	0.4270780599	1	
MCF2	0.5586906063	0	-0.0127688101	0.4271457127	1	
NTRK3	0.5586284477	0	-0.0127149167	0.4274498242	1	
ME1	0.558539	0	-0.0126373626	0.4278875234	1	
RAMP1	0.5583161386	0	-0.0124441348	0.4289784447	1	
HPGDS	0.5582236588	0	-0.0123639518	0.429431299	1	
ARFGEF1	0.5581524038	0	-0.0123021715	0.4297802824	1	
COX5B	0.5581266307	0	-0.0122798254	0.429906524	1	
STAR	0.5581251147	0	-0.012278511	0.4299139502	1	
CASP4	0.5580705364	0	-0.0122311899	0.4301813096	1	
IL7R	0.5580007974	0	-0.012170724	0.4305229818	1	
RPS6KB1	0.5579462192	0	-0.0121234029	0.4307904135	1	
PTGDR2	0.557439854	0	-0.0116843683	0.4332730751	1	
TNFSF10	0.5574004363	0	-0.0116501919	0.4334664474	1	
GJA1	0.5572094123	0	-0.0114845681	0.4344037828	1	TSG
LCK	0.5571881874	0	-0.0114661654	0.434507954	1	
CYB5R4	0.5571154164	0	-0.0114030706	0.4348651464	1	
NLK	0.5570866112	0	-0.0113780956	0.4350065497	1	
ARPC1B	0.5570456775	0	-0.0113426048	0.4352075054	1	
CDC42	0.5565393123	0	-0.0109035701	0.4376947629	1	
MYO3A	0.5565347641	0	-0.0108996267	0.4377171148	1	
CHRM4	0.5564650252	0	-0.0108391608	0.4380598684	1	
METAP2	0.5562057783	0	-0.0106143856	0.439334421	1	
SLC28A3	0.5560359792	0	-0.0104671644	0.4401695556	1	
VEGFC	0.5559055978	0	-0.0103541196	0.4408109996	1	
MAML3	0.5557949251	0	-0.0102581629	0.4413556025	1	
SSTR1	0.5554689715	0	-0.0099755508	0.4429602067	1	
S100A4	0.5550793432	0	-0.0096377307	0.4448794877	1	
MMP7	0.5550080882	0	-0.0095759504	0.445230625	1	
TNK2	0.5549459296	0	-0.0095220569	0.4455369712	1	
SLC7A11	0.5544880784	0	-0.0091250854	0.4477944572	1	
HTR7	0.5543690709	0	-0.0090219021	0.4484222506	1	
NRAS	0.5536481793	0	-0.0083968663	0.4519399965	1	
SLCO1A2	0.5535602476	0	-0.0083206267	0.4523743154	1	
MN1	0.5534359304	0	-0.0082128398	0.4529884492	1	TSG
ACSS1	0.5534147086	0	-0.0081944398	0.4531300474	1	
ABCC6	0.5530781394	0	-0.0079026237	0.4547565752	1	
DLAT	0.5529538222	0	-0.0077948367	0.4553711347	1	
ARF4	0.5525884509	0	-0.0074780483	0.4571779493	1	
CAMK1D	0.5522769026	0	-0.007207926	0.4587512617	1	
LGALS2	0.5522670455	0	-0.0071993796	0.4587680758	1	
PIK3C2G	0.5522655294	0	-0.0071980651	0.4587755779	1	
C3	0.5522534009	0	-0.0071875493	0.4588355958	1	
TAL1	0.5520911821	0	-0.0070469005	0.4596384244	1	
IMPDH2	0.5519623167	0	-0.0069351701	0.4602763023	1	
CBR1	0.5518198068	0	-0.0068116094	0.4609818385	1	
ACSS2	0.5515908812	0	-0.0066131237	0.4621154547	1	
THBS3	0.551586333	0	-0.0066091803	0.46213798	1	
ALDH3A1	0.5513892447	0	-0.0064382985	0.4631141917	1	
RUNX2	0.5512679597	0	-0.0063331405	0.4637150475	1	
TRIM28	0.551131514	0	-0.0062148378	0.4643911087	1	
CKM	0.5509844558	0	-0.0060873337	0.4651198668	1	
IL1RN	0.5508950081	0	-0.0060097797	0.4655631891	1	
VRK3	0.5507524981	0	-0.005886219	0.4662695869	1	
SIRT5	0.5506918556	0	-0.00583364	0.4665702139	1	
MMP19	0.5505417653	0	-0.005703507	0.4673143468	1	
SLC13A1	0.5504826388	0	-0.0056522425	0.4676075215	1	
GRID1	0.5503280003	0	-0.005518166	0.4683743681	1	
CDK10	0.5501824582	0	-0.0053919764	0.4690962128	1	
UBB	0.5500831641	0	-0.0053058853	0.4696113779	1	
SLAMF7	0.5499974985	0	-0.0052316105	0.4700137025	1	
NAE1	0.5499232114	0	-0.0051672012	0.4703822474	1	
KCNMB1	0.5499186632	0	-0.0051632578	0.4704048121	1	
COL2A1	0.5496579003	0	-0.0049371681	0.4716986827	1	
ACY3	0.5496457736	0	-0.0049266539	0.4717796272	1	
B3GALT6	0.5496306111	0	-0.0049135075	0.4718341051	1	
GAMT	0.549603322	0	-0.004889847	0.4719695308	1	
XPA	0.5495396473	0	-0.004834639	0.4722855367	1	
STK39	0.5492167258	0	-0.0045546559	0.4738884006	1	
B4GALT1	0.5491272781	0	-0.0044771018	0.4743324618	1	
LTBR	0.5490575392	0	-0.004416636	0.4746787011	1	
CYP2A6	0.5489650593	0	-0.004336453	0.4751378738	1	
MATK	0.5488361939	0	-0.0042247226	0.4757777592	1	
GATM	0.5487710032	0	-0.0041682002	0.4761014897	1	
PTCH2	0.5485163045	0	-0.0039473684	0.4773664457	1	TSG
CELF4	0.5481206119	0	-0.0036042904	0.4793320904	1	
ADRBK2	0.5479280719	0	-0.0034373521	0.4802887374	1	
PHYH	0.5479144273	0	-0.0034255218	0.4803565356	1	
ATP2A2	0.5477506925	0	-0.0032835585	0.4811701579	1	
UQCRC2	0.5476892931	0	-0.0032303234	0.4814876346	1	
KIF2C	0.5476112146	0	-0.0031626268	0.4818633052	1	
SLC13A3	0.5475854415	0	-0.0031402808	0.4819913928	1	
HSPA1A	0.547429287	0	-0.0030048898	0.482767492	1	
