A	B
thioridazine	HTR1A
thioridazine	HTR2C
thioridazine	HTR6
thioridazine	HTR7
thioridazine	KCNH2
thioridazine	MALT1
trichostatin-a	HDAC7
trichostatin-a	HDAC8
trichostatin-a	HDAC1
trichostatin-a	HDAC10
trichostatin-a	HDAC2
trichostatin-a	HDAC3
trichostatin-a	HDAC4
trichostatin-a	HDAC5
trichostatin-a	HDAC6
trichostatin-a	HDAC9
trifluoperazine	DRD2
trifluoperazine	ABCG2
trifluoperazine	ADRA1A
trifluoperazine	CALM1
trifluoperazine	CALY
trifluoperazine	CAMK2A
trifluoperazine	DRD4
trifluoperazine	HRH1
trifluoperazine	HTR2A
trifluoperazine	HTR2C
trifluoperazine	S100A4
trifluoperazine	SCN4A
trifluoperazine	SCN9A
trifluoperazine	TNNC1
vorinostat	HDAC1
vorinostat	HDAC2
vorinostat	HDAC3
vorinostat	HDAC6
vorinostat	HDAC8
vorinostat	HDAC10
vorinostat	HDAC11
vorinostat	HDAC5
vorinostat	HDAC9
quinpirole	DRD2
quinpirole	DRD3
quinpirole	DRD4
quinpirole	DRD1
quinpirole	HTR1A
quinpirole	HTR2A
quinpirole	HTR2B
quinpirole	HTR2C
flavanone	ADORA3
flavanone	HSD11B1
tyrphostin-AG-527	EGFR
AG-99	EGFR
maackiain	SLC5A2
rutin	AKR1C3
rutin	AKR1B1
rutin	F10
cephaeline	RPS2
umbelliferone	CA9
umbelliferone	CA12
umbelliferone	PTGS2
tyrphostin-AG-18	EGFR
AG-490	JAK2
AG-490	JAK3
AG-490	EGFR
AG-490	STAT3
tyrphostin-AG-494	EGFR
AG-494	EGFR
tyrphostin-AG-538	EGFR
tyrphostin-AG-555	CDK2
tyrphostin-AG-555	EGFR
tyrphostin-AG-556	EGFR
tyrphostin-AG-82	EGFR
tyrphostin-AG-82	LCK
tyrphostin	ERBB2
tyrphostin-AG-825	ERBB2
tyrphostin-1	EGFR
AG-957	ABL1
AG-957	EGFR
tyrphostin-AG-1296	FLT3
tyrphostin-AG-1478	EGFR
tyrphostin-AG-1478	MAPK14
AG-370	PDGFRB
AG-879	ERBB2
AG-879	KDR
AG-879	NTRK1
alaproclate	SLC6A4
albendazole	CYP1A2
albendazole	CYP2J2
albendazole	TUBA1A
albendazole	TUBB
albendazole	TUBB4B
alclometasone	NR3C1
alclometasone	SERPINA6
alfuzosin	ADRA1A
alfuzosin	ADRA1D
alfuzosin	ADRA1B
alfuzosin	KCNH2
alverine	HTR1A
AM-251	CNR1
AM-251	GPR18
AM-251	GPR55
AM-404	TRPV1
AM-404	CNR1
AM-404	CNR2
AM-404	FAAH
AM-630	CNR2
AM-630	CNR1
AM-92016	GRIN1
AM-92016	GRIN2B
AM-580	RARA
amantadine	DRD2
amantadine	GRIN1
amantadine	GRIN2A
amantadine	GRIN2B
amantadine	GRIN2C
amantadine	GRIN2D
amantadine	GRIN3A
amitriptyline	CHRM1
amitriptyline	CHRM2
amitriptyline	CHRM3
amitriptyline	CHRM4
amitriptyline	CHRM5
amitriptyline	HRH1
amitriptyline	HTR6
amitriptyline	SLC6A2
amitriptyline	SLC6A4
amitriptyline	ADRA1A
amitriptyline	ADRA1B
amitriptyline	ADRA1D
amitriptyline	ADRA2A
amitriptyline	ADRB1
amitriptyline	ADRB2
amitriptyline	ADRB3
amitriptyline	HRH2
amitriptyline	HRH4
amitriptyline	HTR1A
amitriptyline	HTR1B
amitriptyline	HTR1D
amitriptyline	HTR2A
amitriptyline	HTR2C
amitriptyline	HTR7
amitriptyline	KCNA1
amitriptyline	KCND2
amitriptyline	KCND3
amitriptyline	KCNQ2
amitriptyline	KCNQ3
amitriptyline	NTRK1
amitriptyline	NTRK2
amitriptyline	OPRD1
amitriptyline	OPRK1
amitriptyline	OPRM1
amitriptyline	SIGMAR1
AMN-082	GRM7
aminomethyltransferase	NOS2
anandamide	CNR1
anandamide	CNR2
anandamide	TRPV1
anandamide	CACNA1G
anandamide	CACNA1H
anandamide	CACNA1I
anandamide	GLRA1
anandamide	GPR119
anandamide	GPR18
anandamide	GPR55
anandamide	KCNA2
anandamide	KCND3
anandamide	KCNK3
anandamide	KCNK9
anandamide	TRPM8
androsta-1,4-dien-3,17-dione	CYP19A1
methyl-angolensate	HTR2B
arachidonamide	CNR1
arachidonamide	CNR2
SA-1478088	MMP12
SA-1478088	MMP14
SA-1478088	MMP2
SA-1478088	MMP8
SA-1478088	MMP9
auraptene	MAOB
AZ-10417808	CASP3
aloisine	CDK2
aloisine	CDK5
aloisine	CDK1
aloisine	CDK5R1
aloisine	CFTR
aloisine	PTK2B
aloisine	ZAP70
prostaglandin-e1	PTGER1
prostaglandin-e1	PTGER2
prostaglandin-e1	CATSPER1
prostaglandin-e1	CATSPER2
prostaglandin-e1	CATSPER3
prostaglandin-e1	CATSPER4
prostaglandin-e1	PTGDR
prostaglandin-e1	PTGER4
prostaglandin-e1	PTGIR
altanserin	HTR2A
altanserin	HTR2C
amiloride	SCNN1A
amiloride	ASIC1
amiloride	ASIC2
amiloride	SCNN1B
amiloride	SCNN1G
amiloride	AOC1
amiloride	ASIC3
amiloride	PKD2
amiloride	PKD2L1
amiloride	PLAU
amiloride	SCNN1D
amiloride	SLC9A1
amiloride	TRPC7
amiloride	TRPV2
aminogenistein	LCK
aminopurvalanol-a	CDK1
aminopurvalanol-a	CDK2
aminopurvalanol-a	CDK5
aminopurvalanol-a	CDK6
amthamine	HRH2
angiogenesis-inhibitor	EGFR
aniracetam	DRD2
aniracetam	GRIA1
aniracetam	GRIA2
aniracetam	GRIA3
aniracetam	HTR2A
aniracetam	GRIA4
anisomycin	NHP2L1
anisomycin	RPL10L
anisomycin	RPL11
anisomycin	RPL13A
anisomycin	RPL15
anisomycin	RPL19
anisomycin	RPL23
anisomycin	RPL23A
anisomycin	RPL26L1
anisomycin	RPL3
anisomycin	RPL37
anisomycin	RPL8
anisomycin	RSL24D1
apoptosis-activator-II	BCHE
apoptosis-activator-II	CES1
arctigenin	ADIPOR1
arctigenin	AHR
arctigenin	CHUK
arctigenin	MAP2K1
arecaidine	CHRM1
arecaidine	CHRM2
arecaidine	CHRM3
arecaidine	CHRM4
arvanil	CNR1
arvanil	TRPV1
azacyclonol	HRH1
talipexole	DRD2
talipexole	HTR3A
BAPTA-AM	KCNA3
BAPTA-AM	KCNA5
BAPTA-AM	KCNH2
BAY-36-7620	GRM1
BAY-59-3074	CNR1
BAY-59-3074	CNR2
BD-1047	SIGMAR1
BD-1063	SIGMAR1
betahistine	HRH3
betahistine	HRH1
bezafibrate	PPARA
bezafibrate	PPARD
bezafibrate	PPARG
bezafibrate	HSD11B1
bezafibrate	LPL
bicalutamide	AR
bicalutamide	CYP2C19
BML-190	CNR2
BML-257	AKT1
BMS-191011	KCNMA1
BMY-14802	HTR1A
BMY-14802	SIGMAR1
BMY-7378	HTR1A
BMY-7378	ADRA1D
BMY-7378	ADRA1A
BMY-7378	ADRA1B
BP-554	HTR1A
BRL-15572	HTR1D
BRL-15572	HTR1A
BRL-15572	HTR1B
BRL-15572	HTR1E
BRL-15572	HTR1F
BRL-15572	HTR2A
BRL-15572	HTR2B
BRL-15572	HTR2C
BRL-15572	HTR6
BRL-37344	ADRB3
BRL-37344	ADRB1
BRL-37344	ADRB2
BRL-50481	PDE7A
BRL-50481	PDE7B
BRL-54443	HTR1E
BRL-54443	HTR1F
bumetanide	SLC12A1
bumetanide	SLC12A2
bumetanide	CFTR
bumetanide	GPR35
bumetanide	SLC12A4
bumetanide	SLC12A5
BW-723C86	HTR2B
BW-723C86	HTR2A
BW-723C86	HTR2C
BAY-11-7821	RELA
BCL2-inhibitor	BCL2
beclometasone	NR3C1
beclometasone	CYP3A5
beclometasone	GPR97
beclometasone	SERPINA6
bemegride	GABRA1
oxybuprocaine	SCN10A
benperidol	DRD2
ubenimex	LTA4H
ubenimex	ANPEP
ubenimex	RNPEP
betaxolol	ADRB1
betaxolol	ADRB2
bifemelane	SLC6A2
biotin	ACACA
biotin	ACACB
biotin	HLCS
biotin	MCCC1
biotin	MCCC2
biotin	PC
biotin	PCCA
biotin	PCCB
biotin	SLC5A6
bis-tyrphostin	DNM1
bis-tyrphostin	EGFR
boldine	CHRNA4
boldine	CHRNB2
boldine	DRD1
boldine	DRD2
brefeldin-a	ARF1
brefeldin-a	ARFGEF1
brefeldin-a	ARFGEF2
brefeldin-a	CYTH2
brefeldin-a	GBF1
brefeldin-a	SAR1A
brinzolamide	CA2
brinzolamide	CA1
brinzolamide	CA7
brinzolamide	CA12
brinzolamide	CA14
brinzolamide	CA4
brinzolamide	CA5A
brinzolamide	CYP2B6
brinzolamide	CYP2C8
butabindide	TPP2
butein	ACE
butein	CXCL8
butein	IL6
butein	SIRT1
butein	SRD5A1
butein	SRD5A2
butein	TNF
carbacyclin	PPARD
carbacyclin	PTGDR
carbacyclin	PTGER1
carbacyclin	PTGER2
carbacyclin	PTGER3
carbacyclin	PTGER4
carbacyclin	PTGFR
carbacyclin	PTGIR
carbacyclin	TBXA2R
carbenoxolone	HSD11B1
carbenoxolone	GJA1
carbenoxolone	GJA10
carbenoxolone	GJA3
carbenoxolone	GJA4
carbenoxolone	GJA5
carbenoxolone	GJA8
carbenoxolone	GJA9
carbenoxolone	GJB1
carbenoxolone	GJB2
carbenoxolone	GJB3
carbenoxolone	GJB4
carbenoxolone	GJB5
carbenoxolone	GJB6
carbenoxolone	GJB7
carbenoxolone	GJC1
carbenoxolone	GJC2
carbenoxolone	GJC3
carbenoxolone	GJD2
carbenoxolone	GJD3
carbenoxolone	GJD4
carbenoxolone	GJE1
carbenoxolone	PANX1
carbenoxolone	PANX2
carbenoxolone	PANX3
carprofen	PTGS2
carprofen	PTGS1
catechin	BACE1
catechin	CA1
catechin	CA12
catechin	CA14
catechin	CA2
catechin	CA4
catechin	CA6
catechin	CA9
catechin	FASN
catechin	PTGS1
catechin	SCN5A
HSP90-inhibitor	HSP90AA1
HSP90-inhibitor	HSP90AB1
CDC	ALOX12
CDC	ALOX5
cetirizine	HRH1
CGK-733	ATM
CGK-733	ATR
CGP-12177	ADRB1
CGP-12177	ADRB2
CGP-12177	ADRB3
CGP-13501	GABBR1
CGP-20712	ADRB1
CGP-20712	ADRB3
CGP-37157	SLC8A1
CGP-52432	GABBR1
CGP-52432	GABBR2
CGP-53353	EGFR
CGP-53353	PRKCB
CGP-55845	GABBR1
CGP-55845	GABBR2
CGP-55845	KCTD12
CGP-55845	KCTD16
CGP-55845	KCTD8
CGP-71683	NPY5R
CGP-7930	GABBR1
CGS-12066B	HTR1B
CGS-12066B	HTR1A
CGS-12066B	HTR1D
CGS-12066B	HTR2A
CGS-12066B	HTR2B
CGS-12066B	HTR2C
CGS-20625	GABRA1
CGS-20625	GABRA2
CGS-20625	GABRA3
CGS-20625	GABRA5
CGS-21680	ADORA2A
CGS-21680	ADORA1
CGS-21680	ADORA2B
CGS-21680	ADORA3
zaldaride	CALM1
proguanil	CYP2C19
proguanil	DHFR
CI-966	SLC6A1
ciglitazone	PPARG
ciglitazone	INS
CL-218872	GABRA1
CL-218872	GABRA2
CL-218872	GABRA3
CL-218872	GABRA5
CL-218872	GABRB2
CL-218872	GABRG2
CL-82198	MMP13
CP-55940	CNR1
CP-55940	CNR2
CP-55940	CXCR4
CP-55940	GPR55
CP-93129	HTR1A
CP-93129	HTR1B
CP-94253	HTR1B
CPCCOEt	GRM1
irinotecan	TOP1
irinotecan	CYP3A5
irinotecan	TOP1MT
indolophenanthridine	CALY
indolophenanthridine	DRD1
cymarin	ATP1A1
cabergoline	DRD2
cabergoline	ADRA1A
cabergoline	ADRA2A
cabergoline	ADRA2B
cabergoline	ADRA2C
cabergoline	DRD1
cabergoline	DRD3
cabergoline	DRD4
cabergoline	DRD5
cabergoline	HTR1A
cabergoline	HTR1B
cabergoline	HTR1D
cabergoline	HTR2A
cabergoline	HTR2B
cabergoline	HTR2C
cabergoline	ADRA1B
cabergoline	ADRA1D
cabergoline	ADRB1
cabergoline	ADRB2
cabergoline	HTR7
cabergoline	PRL
caffeic-acid	ALOX5
caffeic-acid	MIF
caffeic-acid	RELA
caffeic-acid	TNF
camptothecin	TOP1
camptothecin	HIF1A
capsazepine	TRPV1
capsazepine	TRPV4
carmoxirole	DRD2
carteolol	ADRB1
carteolol	ADRB2
CDK1-5-inhibitor	CDK1
CDK1-5-inhibitor	CDK5
CDK1-5-inhibitor	GSK3B
CDK2-5-inhibitor	CDK2
CDK2-5-inhibitor	CDK5
clomethiazole	GABRA1
cilastatin	DPEP1
cilnidipine	CACNA1B
cilnidipine	CACNA1C
cilostamide	PDE3A
cilostamide	PDE3B
cinalukast	CYSLTR1
cinnarizine	HRH1
cinnarizine	CACNA1C
cinnarizine	CACNA1D
cinnarizine	CACNA1F
cinnarizine	CACNA1G
cinnarizine	CACNA1H
cinnarizine	CACNA1I
cinnarizine	CACNA1S
cinnarizine	CHRM1
cinnarizine	CHRM2
cinnarizine	CHRM3
cinnarizine	CHRM4
cinnarizine	CHRM5
cinnarizine	DRD1
cinnarizine	DRD2
cinnarizine	DRD5
ciprofibrate	PPARA
ciprofibrate	LPL
cirazoline	ADRA1A
clobenpropit	HRH3
clobenpropit	HRH4
clobenpropit	HRH1
clobenpropit	HRH2
clocortolone	NR3C1
clocortolone	PLA2G1B
clofarabine	RRM1
clofarabine	POLA1
clofarabine	RRM2
clofarabine	SLC22A8
clofibric-acid	PPARA
clomipramine	SLC6A4
clomipramine	SLC6A2
clomipramine	CYP2C19
clomipramine	GSTP1
clomipramine	HTR2A
clomipramine	HTR2B
clomipramine	HTR2C
clomipramine	SLC6A3
clozapine	DRD2
clozapine	DRD4
clozapine	ADRA1A
clozapine	ADRA1B
clozapine	CHRM1
clozapine	DRD1
clozapine	DRD3
clozapine	HRH1
clozapine	HRH4
clozapine	HTR1A
clozapine	HTR1B
clozapine	HTR1D
clozapine	HTR1E
clozapine	HTR2A
clozapine	HTR2C
clozapine	HTR6
clozapine	HTR7
clozapine	ADRA1D
clozapine	ADRA2A
clozapine	ADRA2B
clozapine	ADRA2C
clozapine	CALY
clozapine	CHRM2
clozapine	CHRM3
clozapine	CHRM4
clozapine	CHRM5
clozapine	CYP2C19
clozapine	DRD5
clozapine	HTR1F
clozapine	HTR2B
clozapine	HTR3A
clozapine	HTR5A
CO-102862	SCN2A
CO-102862	SCN4A
CO-102862	SCN9A
cromakalim	KCNJ8
cromakalim	ABCC9
cromakalim	KCNJ5
cucurbitacin-i	JAK2
cucurbitacin-i	STAT3
Cyclo-[Arg-Gly-Asp-D-Phe-Val]	ITGAV
Cyclo-[Arg-Gly-Asp-D-Phe-Val]	ITGB3
cyproterone	AR
cyproterone	ADORA1
cyproterone	ESR1
D-4476	CSNK1A1
D-4476	CSNK1D
D-4476	TGFB1
SA-792574	TUBB
dactinomycin	POLR2A
DAU-5884	CHRM1
DAU-5884	CHRM3
DCEBIO	KCNN2
DCEBIO	KCNN3
DCEBIO	KCNN4
deguelin	AKT1
deguelin	PTGS2
decafluorobutane	GRM5
DH-97	MTNR1B
benzydamine	PRSS1
benzydamine	PRSS2
diazepam	GABRA1
diazepam	GABRA2
diazepam	GABRA3
diazepam	GABRA5
diazepam	ADRA1A
diazepam	CYP2C19
diazepam	GABRA4
diazepam	GABRA6
diazepam	GABRB1
diazepam	GABRB2
diazepam	GABRB3
diazepam	GABRD
diazepam	GABRE
diazepam	GABRG1
diazepam	GABRG2
diazepam	GABRG3
diazepam	GABRP
diazepam	GABRQ
diazepam	GABRR1
diazepam	GABRR2
diazepam	GABRR3
diazepam	TSPO
dicyclohexylurea	EPHX2
tubaic-acid	MT-ND1
dipropyl-5ct	HTR1B
dipropyl-5ct	HTR1D
dipropyl-5ct	HTR1F
dipropyl-5ct	HTR7
diprotin-a	DPP4
DMAB-anabaseine	CHRNA7
DNQX	GRIA1
DNQX	GRIA2
DNQX	GRIK1
DNQX	GRIN1
DNQX	GRIN2A
DNQX	GRIN2B
prestwick-559	DRD3
prestwick-559	ADRA1A
prestwick-559	ADRA1D
prestwick-559	ADRA2A
prestwick-559	DRD1
prestwick-559	DRD2
prestwick-559	DRD4
prestwick-559	HTR1A
prestwick-559	HTR2B
doconexent	FFAR1
doconexent	PPARA
doconexent	PTGS1
doconexent	PTGS2
DPN	ESR2
DPPE	ABCB1
DPPE	HRH1
DR-2313	PARP1
DR-2313	PARP3
ditolylguanidine	GRIN1
ditolylguanidine	GRIN2A
ditolylguanidine	GRIN2B
ditolylguanidine	SIGMAR1
DY-131	ESR2
DY-131	ESRRB
DY-131	ESRRG
dantrolene	RYR1
dantrolene	RYR3
deltaline	CHRNA7
denbufylline	PDE4A
denbufylline	PDE4B
denbufylline	PDE4D
desoxycortone	NR3C1
desoxycortone	NR3C2
devazepide	CCKAR
devazepide	CCKBR
devazepide	GAST
diazoxide	ATP1A1
diazoxide	CA1
diazoxide	CA2
diazoxide	KCNJ11
diazoxide	KCNMA1
diazoxide	SLC12A3
diclofenamide	CA1
diclofenamide	CA2
diclofenamide	CA4
diclofenamide	CA12
diclofenamide	CA7
diflorasone	NR3C1
diflorasone	PLA2G1B
digoxigenin	ATP1A1
diphenidol	CHRM1
diphenidol	CHRM3
diphenidol	CHRM4
diphenidol	CHRM2
diphenyleneiodonium	ALDH1A2
diphenyleneiodonium	ALDH2
diphenyleneiodonium	ALDH5A1
diphenyleneiodonium	ALDH7A1
diphenyleneiodonium	NOX3
diphenyleneiodonium	XDH
dobutamine	ADRB1
dobutamine	ADRB2
dobutamine	ADRA1A
dosulepin	SLC6A2
dosulepin	SLC6A4
dosulepin	CHRM1
dosulepin	CHRM2
dosulepin	CHRM3
dosulepin	CHRM4
dosulepin	CHRM5
dosulepin	CYP2C19
dosulepin	HRH1
DUP-697	PTGS2
dydrogesterone	PGR
EBPC	AKR1B1
econazole	CYP51A1
econazole	NPY1R
econazole	NPY2R
econazole	TRPM2
econazole	TRPV5
EHNA	ADA
EHNA	PDE2A
EHNA	ADORA2A
EMD-66684	AGTR1
enalapril	ACE
EO-1428	MAPK11
EO-1428	MAPK14
ER-27319	SYK
ergocornine	DRD2
ergometrine	ADRA1A
ergometrine	HTR1E
ergometrine	HTR2A
eriodictyol	CYP1B1
eriodictyol	NFE2L2
eriodictyol	XDH
estradiol-valerate	ESR1
BRD-K49061529	GABRA1
BRD-K49061529	GABRG2
eugenitol	AR
eugenitol	MAOA
embelin	XIAP
epirizole	PTGS1
epirizole	PTGS2
eplerenone	NR3C2
eplerenone	CYP3A5
ethisterone	TYR
mestranol	ESR1
febuxostat	XDH
fenbendazole	CYP2C19
fenbendazole	CYP2D6
fenbendazole	CYP2J2
fenbendazole	CYP3A4
fenbendazole	TUBB
fenofibrate	PPARA
fenofibrate	APOA1
fenofibrate	CYP2C19
fenofibrate	CYP2C8
fenofibrate	MMP25
finasteride	SRD5A2
finasteride	SRD5A1
finasteride	AKR1D1
finasteride	AR
FIT	OPRD1
FK-888	TACR1
FK-888	TACR2
flavokavain-b	HIF1A
fluconazole	CYP3A5
fluconazole	CYP3A7
flufenamic-acid	AKR1C3
flufenamic-acid	AR
flufenamic-acid	PTGS1
flufenamic-acid	PTGS2
flufenamic-acid	ANO1
flufenamic-acid	GJA1
flufenamic-acid	GJA10
flufenamic-acid	GJA3
flufenamic-acid	GJA4
flufenamic-acid	GJA5
flufenamic-acid	GJA8
flufenamic-acid	GJA9
flufenamic-acid	GJB1
flufenamic-acid	GJB2
flufenamic-acid	GJB3
flufenamic-acid	GJB4
flufenamic-acid	GJB5
flufenamic-acid	GJB6
flufenamic-acid	GJB7
flufenamic-acid	GJC1
flufenamic-acid	GJC2
flufenamic-acid	GJC3
flufenamic-acid	GJD2
flufenamic-acid	GJD3
flufenamic-acid	GJD4
flufenamic-acid	GJE1
flufenamic-acid	PANX1
flufenamic-acid	PANX2
flufenamic-acid	PANX3
flufenamic-acid	PKD2L1
flufenamic-acid	TRPC5
flufenamic-acid	TRPM2
flufenamic-acid	TRPM5
flumetasone	NR3C1
flumetasone	PLA2G1B
flunisolide	NR3C1
fluperlapine	DRD2
fluperlapine	HTR2A
fluperlapine	HTR6
fluperlapine	HTR7
fluprostenol	PTGER3
fluprostenol	PTGFR
fluprostenol	TBXA2R
fludroxycortide	NR3C1
fludroxycortide	SERPINA6
FPL-64176	CACNA1C
FPL-64176	CACNA1S
FR-139317	EDNRA
fraxidin	CA1
fananserin	HTR2A
fananserin	DRD4
fasudil	ROCK1
fasudil	ROCK2
fasudil	PKIA
fasudil	PRKACA
felbamate	GRIN2A
felbamate	GRIN2B
felbamate	GRIN3A
felodipine	CACNA1C
felodipine	CACNA1D
felodipine	CACNA1H
felodipine	CACNA1S
felodipine	CACNA2D1
felodipine	CACNA2D2
felodipine	CACNB2
felodipine	CALM1
felodipine	CFTR
felodipine	NR3C2
felodipine	PDE1A
felodipine	PDE1B
felodipine	TNNC1
felodipine	TNNC2
fenobam	GRM5
fenoldopam	DRD1
fenoldopam	ADRA1A
fenoldopam	ADRA1B
fenoldopam	ADRA1D
fenoldopam	ADRA2A
fenoldopam	ADRA2B
fenoldopam	ADRA2C
fenoldopam	DRD4
fenoldopam	DRD5
fenretinide	CYP2C8
fenretinide	CYP3A5
fenretinide	RARA
fenretinide	RARG
fexaramine	NR1H4
flavoxate	CHRM1
flavoxate	CHRM2
flumazenil	GABRA1
flumazenil	GABRA2
flumazenil	GABRA3
flumazenil	GABRA5
flumazenil	GABRA4
flumazenil	GABRA6
flumazenil	GABRB1
flumazenil	GABRB2
flumazenil	GABRB3
flumazenil	GABRD
flumazenil	GABRE
flumazenil	GABRG1
flumazenil	GABRG2
flumazenil	GABRG3
flumazenil	GABRP
flumazenil	GABRQ
fluticasone	NR3C1
fluticasone	CYP3A5
fluticasone	CYP3A7
fluticasone	NR3C2
fluticasone	PGR
fluticasone	PLA2G4A
fluvoxamine	SLC6A4
fluvoxamine	CYP2C19
formoterol	ADRB2
formoterol	CYP2C19
fusaric-acid	DBH
gamma-linolenic-acid	TBXAS1
vanoxerine	SLC6A3
vanoxerine	MAOA
vanoxerine	MAOB
GBR-12935	AGTR1
GBR-12935	SLC6A3
GBR-13069	SLC6A3
glipizide	ABCC8
glipizide	KCNJ10
glipizide	KCNJ11
glipizide	PPARG
BRD-K65285700	CNR2
BRD-K34608650	CNR2
GR-127935	HTR1B
GR-127935	HTR1D
GR-127935	HTR1A
GR-127935	HTR2A
GR-127935	HTR2C
GR-127935	HTR1E
GR-127935	HTR1F
GR-127935	HTR2B
GR-127935	HTR6
GR-144053	ITGB3
GR-144053	ITGA2B
GR-159897	TACR2
GR-159897	TAC1
GR-32191	TBXA2R
GR-46611	HTR1D
GR-55562	HTR1B
GR-55562	HTR1D
GR-79236	ADORA1
GR-79236	ADORA2A
GR-89696	OPRK1
GS-39783	GABBR1
AR-A014418	GSK3B
GTP-14564	FLT3
GTP-14564	CSF1R
GTP-14564	KIT
GTP-14564	PDGFRB
GW-0742	INS
GW-0742	PPARD
GW-311616	ELANE
GW-405833	CNR2
GW-441756	LRRK2
GW-441756	NTRK1
GW-583340	EGFR
GW-583340	ERBB2
GW-6471	PPARA
GW-843682X	PLK1
GW-843682X	PLK3
GW-9508	FFAR4
GW-9508	FFAR1
GW-9662	PPARG
GW-9662	NCOA2
GW-9662	RXRA
GYKI-52466	GRIA1
GYKI-52466	GRIA2
GYKI-52466	GRIA3
GYKI-52466	GRIA4
gabexate	PRSS1
gabexate	TPSAB1
gavestinel	GLRB
genistein	CFTR
genistein	ESR2
genistein	EGFR
genistein	ESR1
genistein	ESRRA
genistein	ESRRB
genistein	ESRRG
genistein	NCOA1
genistein	NCOA2
genistein	PPARG
genistein	PTK2B
genistein	TOP2A
genistein	TRPC5
gibberellic-acid	AADACL2
glibenclamide	KCNJ11
glibenclamide	ABCC8
glibenclamide	CFTR
glibenclamide	KCNJ5
glibenclamide	KCNJ8
glibenclamide	ABCA1
glibenclamide	ABCB11
glibenclamide	ABCC9
glibenclamide	CPT1A
glibenclamide	KCNJ1
glibenclamide	SLCO2B1
glibenclamide	TRPA1
glimepiride	ABCC8
glimepiride	KCNJ11
glimepiride	KCNJ1
gliquidone	ABCC8
gliquidone	KCNJ10
gliquidone	KCNJ11
gliquidone	KCNJ8
guggulsterone	NR1H4
guggulsterone	PGR
guggulsterone	AR
guggulsterone	ESR1
guggulsterone	IKBKB
guggulsterone	NR1I2
guggulsterone	NR3C1
guggulsterone	NR3C2
H-89	PRKACA
H-89	GSG2
H-89	KCNA2
H-89	KCNA3
H-89	KCNA5
H-89	KCNAB2
H-89	KCNC1
H-89	KCNC2
H-89	KCNC3
H-89	KCNE1
H-89	KCNE2
H-89	KCNE3
H-89	KCNE4
H-89	KCNH1
H-89	KCNH2
H-89	KCNQ1
H-89	KCNQ2
H-89	KCNQ3
H-89	KCNQ5
H-89	KCNS3
H-89	PKIA
H-8	PKIA
H-8	PRKACA
H-9	PRKACA
HEAT	ADRA1A
hemado	ADORA3
hemado	ADORA1
hemado	ADORA2A
hemado	ADORA2B
herniarin	ACHE
herniarin	CA1
herniarin	CA12
herniarin	CA14
herniarin	CA4
herniarin	CA6
herniarin	CA9
quercetagetin	PIM1
halcinonide	NR3C1
harpagoside	ACHE
hesperidin	CACNA1B
hexylcaine	SCN5A
hexylcaine	SCN10A
hinokitiol	TYR
hispidin	PREP
hispidin	PRKCB
hispidin	PTGS2
hispidin	XDH
bisbenzimide	BCL2L1
bisbenzimide	TOP1
homoharringtonine	RPL3
hydralazine	AOC3
hydralazine	P4HA1
IBC-293	HCAR3
SA-63133	CSNK1E
SA-63133	CSNK1A1
SA-63133	CSNK1D
SA-63133	CSNK1G2
BRD-A89208012	TBXA2R
BRD-K66782112	HRH2
ICI-199441	OPRK1
ICI-199441	CYP2D6
ICI-199441	OPRD1
ICI-199441	OPRM1
ICI-199441	UTS2R
ICI-89406	ADRB1
ICI-89406	ADRB2
IKK-16	IKBKB
IKK-2-inhibitor-V	IKBKB
imperatorin	ACHE
imperatorin	HTR7
indole	AHR
indole	IDO1
IRL-2500	EDNRB
isamoltan	ADRB1
isamoltan	ADRB2
isoreserpine	SLC18A2
isoreserpine	SLC18A1
isoreserpine	SIAH1
isorotenone	MT-ND1
ITE	AHR
ivermectin	CHRNA7
ivermectin	GABRB3
ivermectin	GLRA3
ivermectin	P2RX7
ibudilast	PDE4A
ibudilast	PDE4B
ibudilast	PDE4C
ibudilast	MIF
ibudilast	PDE10A
ibudilast	PDE3A
ibudilast	PDE4D
ibudilast	TLR4
ibudilast	CYSLTR1
ibudilast	IL1B
ibudilast	IL6
ibudilast	PDE11A
ibudilast	PDE5A
immepip	HRH3
immepip	HRH4
adipiodone	ALB
iodophenpropit	HRH3
iodophenpropit	HRH4
iodophenpropit	GRIN2B
irsogladine	PDE4A
isocarboxazid	MAOA
isocarboxazid	MAOB
isoflupredone	NR3C1
ivachtin	CASP3
J-104129	CHRM3
JAK3-inhibitor-I	JAK3
JAK3-Inhibitor-II	EGFR
JAK3-Inhibitor-II	ALK
JAK3-Inhibitor-II	JAK1
JAK3-Inhibitor-II	JAK2
JAK3-Inhibitor-II	JAK3
JAK3-inhibitor-V	JAK3
JAK3-inhibitor-VI	JAK3
JLK-6	PSEN1
JNJ-10191584	HRH4
JNJ-16259685	GRM1
JTE-013	S1PR2
JTE-013	P2RY10
JTE-907	CNR2
JWH-015	CNR2
JWH-015	GPR55
JX-401	MAPK14
kavain	MTOR
KB-R7943	SLC8A1
KB-R7943	TRPC3
KB-R7943	TRPC5
KB-R7943	TRPC6
ketoprofen	PTGS2
ketoprofen	PTGS1
ketoprofen	CXCR1
ketoprofen	SLC5A8
KF-38789	SELP
KN-62	AKT1
KN-62	CAMK2A
KN-62	CHEK1
KN-62	LCK
